Time,Magnitude (nT),X,Y,Z
1997-08-23T15:12:13.235000,-3.23,-8233952.166668965,3900386.4335543676,1767814.1655126682
1997-08-23T15:12:46.569000,-3.2,-8233931.395166543,3900327.9182759407,1767786.4408889562
1997-08-23T15:13:19.902000,-3.16,-8233910.622246641,3900269.402328505,1767758.7159619771
1997-08-23T15:13:53.235000,-3.27,-8233889.218361849,3900209.112470481,1767730.1505684664
1997-08-23T15:14:26.569000,-3.32,-8233868.442563948,3900150.5951643423,1767702.4250257432
1997-08-23T15:14:59.902000,-3.27,-8233847.665348923,3900092.0771887777,1767674.699179634
1997-08-23T15:16:05.235000,-3.21,-8233806.106665949,3899975.0392303835,1767619.246577763
1997-08-23T15:16:38.568000,-3.15,-8233785.325198359,3899916.5192472553,1767591.5198218524
1997-08-23T15:17:11.902000,-3.15,-8233764.542313047,3899857.998594999,1767563.7927626746
1997-08-23T15:17:45.235000,-3.16,-8233743.128160658,3899797.7038896843,1767535.2251724072
1997-08-23T15:18:18.568000,-3.09,-8233722.342397468,3899739.1818785463,1767507.497497396
1997-08-23T15:18:51.902000,-3.11,-8233701.555216439,3899680.6591984592,1767479.7695192073
1997-08-23T15:19:25.235000,-3.25,-8233680.136638159,3899620.362403736,1767451.2009820312
1997-08-23T15:19:58.568000,-3.22,-8233659.3465790115,3899561.838364767,1767423.4723880386
1997-08-23T15:20:31.902000,-3.25,-8233638.555102264,3899503.3136566104,1767395.7434907793
1997-08-23T15:21:05.235000,-3.13,-8233617.132097853,3899443.0147725972,1767367.1740066945
1997-08-23T15:21:38.568000,-3.15,-8233596.337742868,3899384.4887056183,1767339.4444936612
1997-08-23T15:22:11.902000,-3.2,-8233575.541969806,3899325.961969631,1767311.7146773608
1997-08-23T15:22:45.235000,-3.1,-8233554.114539385,3899265.66099603,1767283.1442463077
1997-08-23T15:23:18.568000,-3.18,-8233533.315887847,3899207.1329012797,1767255.413814293
1997-08-23T15:23:51.902000,-3.19,-8233512.515818947,3899148.604137163,1767227.683078922
1997-08-23T15:24:25.235000,-3.22,-8233491.0839618,3899088.3010743326,1767199.1117010496
1997-08-23T15:24:58.568000,-3.25,-8233470.281014186,3899029.7709515723,1767171.3803499048
1997-08-23T15:25:31.901000,-3.18,-8233449.476648852,3898971.2401595647,1767143.6486954927
1997-08-23T15:26:05.235000,-3.29,-8233428.040364978,3898910.9350073254,1767115.0763706816
1997-08-23T15:26:38.568000,-3.27,-8233407.233120932,3898852.4028566154,1767087.3441005258
1997-08-23T15:27:11.901000,-3.37,-8233386.424458926,3898793.870036657,1767059.611527073
1997-08-23T15:27:45.235000,-3.31,-8233364.983748444,3898733.5627949494,1767031.0382554128
1997-08-23T15:28:18.568000,-3.27,-8233344.172207726,3898675.0286163483,1767003.3050661862
1997-08-23T15:28:51.901000,-3.26,-8233323.359248929,3898616.4937683805,1766975.5715736626
1997-08-23T15:29:25.235000,-3.25,-8233301.914111365,3898556.1844373834,1766946.9973551536
1997-08-23T15:29:58.568000,-3.31,-8233281.098273615,3898497.648230772,1766919.2632468562
1997-08-23T15:30:31.901000,-3.3,-8233260.281018145,3898439.1113549136,1766891.5288353213
1997-08-23T15:31:05.235000,-3.28,-8233238.831453498,3898378.7999343886,1766862.9536698142
1997-08-23T15:31:38.568000,-3.43,-8233218.011318838,3898320.261699827,1766835.2186425056
1997-08-23T15:32:11.901000,-3.42,-8233197.189766101,3898261.722795958,1766807.48331193
1997-08-23T15:32:45.235000,-3.32,-8233175.7357741315,3898201.4092861437,1766778.9071996035
1997-08-23T15:33:18.568000,-3.41,-8233154.911342323,3898142.8690235126,1766751.1712531943
1997-08-23T15:33:51.901000,-3.43,-8233134.085492436,3898084.328091753,1766723.435003548
1997-08-23T15:34:25.234000,-3.35,-8233112.627072786,3898024.0124924704,1766694.8579443127
1997-08-23T15:34:58.568000,-3.32,-8233091.79834371,3897965.470201948,1766667.1210789224
1997-08-23T15:35:31.901000,-3.37,-8233070.968196436,3897906.927242179,1766639.3839102052
1997-08-23T15:36:05.234000,-3.26,-8233049.505349225,3897846.6095533683,1766610.8059040317
1997-08-23T15:36:38.568000,-3.34,-8233028.672322404,3897788.0652349554,1766583.0681196002
1997-08-23T15:37:59.901000,-3.34,-8232977.530698631,3897644.362706861,1766514.9831810473
1997-08-23T15:38:33.234000,-3.47,-8232956.061298173,3897584.041925754,1766486.4037734964
1997-08-23T15:39:06.568000,-3.31,-8232935.221910741,3897525.4946058914,1766458.6646288785
1997-08-23T15:39:39.901000,-3.53,-8232914.381105112,3897466.946616781,1766430.925180934
1997-08-23T15:40:13.234000,-3.64,-8232892.907276378,3897406.623746086,1766402.3448264445
1997-08-23T15:40:46.568000,-3.4,-8232872.063591202,3897348.0743983327,1766374.6047628154
1997-08-23T15:41:19.901000,-3.42,-8232851.21848759,3897289.524381093,1766346.8643958298
1997-08-23T15:41:53.234000,-3.41,-8232829.740230461,3897229.1994212875,1766318.2830944913
1997-08-23T15:42:26.568000,-3.24,-8232808.892247062,3897170.648045345,1766290.5421117917
1997-08-23T15:42:59.901000,-3.26,-8232788.042845229,3897112.0960003347,1766262.8008257654
1997-08-23T15:43:33.234000,-3.55,-8232766.560159942,3897051.7689508214,1766234.218577488
1997-08-23T15:44:06.567000,-3.66,-8232745.707878084,3896993.215547048,1766206.4766757474
1997-08-23T15:44:39.901000,-3.74,-8232724.854177909,3896934.661473968,1766178.7344706801
1997-08-23T15:45:13.234000,-3.7,-8232703.367063871,3896874.3323349864,1766150.1512755537
1997-08-23T15:45:46.567000,-3.68,-8232682.510483671,3896815.7769032624,1766122.4084547125
1997-08-23T15:46:19.901000,-3.53,-8232661.652484917,3896757.2208021726,1766094.665330634
1997-08-23T15:46:53.234000,-3.56,-8232640.160942125,3896696.889573782,1766066.081188599
1997-08-23T15:47:26.567000,-3.58,-8232619.3000633465,3896638.332113929,1766038.337448717
1997-08-23T15:47:59.901000,-3.58,-8232598.4377658935,3896579.773984888,1766010.5934055676
1997-08-23T15:48:33.234000,-3.47,-8232576.941793872,3896519.4406671487,1765982.0083166535
1997-08-23T15:49:06.567000,-3.47,-8232556.076616276,3896460.8811792857,1765954.2636577305
1997-08-23T15:49:39.901000,-3.4,-8232535.210020005,3896402.3210222945,1765926.5186955999
1997-08-23T15:50:13.234000,-3.34,-8232513.709618874,3896341.9856149675,1765897.9326597177
1997-08-23T15:50:46.567000,-3.3,-8232492.840142221,3896283.4240990942,1765870.1870817535
1997-08-23T15:51:19.901000,-3.31,-8232471.969246893,3896224.8619140927,1765842.4412005222
1997-08-23T15:51:53.234000,-3.32,-8232450.464416414,3896164.524417357,1765813.854217791
1997-08-23T15:52:26.567000,-3.2,-8232429.590640704,3896105.960873474,1765786.107720786
1997-08-23T15:52:59.900000,-3.19,-8232408.71544632,3896047.3966604625,1765758.3609205734
1997-08-23T15:53:33.234000,-3.24,-8232387.206186135,3895987.057074258,1765729.7729909034
